metric;value;
cpui_model_name;AMD Ryzen 3 2200U with Radeon Vega Mobile Gfx;
uarchitecture_code;31;
cores_per_socket;2;
last_html_path;measure_gcc_O2_one_html;
proc_name;AMD_fam17h_mod11h;
lprof_suffix;_npsu_run_0;
cpui_cache_size;512 KB;
os_version;Linux 6.5.0-25-generic #25~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Feb 20 16:09:15 UTC 2;
scaling_governor;schedutil;
cur_frequency;1357125;
cqa_uarch;ZEN_V1;
huge_pages;madvise;
nb_filtered_functions;0;
driver_frequency;acpi-cpufreq;
threads_per_core;2;
exp_version;3.1;
universal_timestamp;1711369102;
maqao_build;678c966dd6a3373b39547504c35d385dc232c917::20231011-165349;
cov_filtered_loops;0;
cpui_cpu_cores;2;
maqao_version;2.18.0;
global_instances_per_bucket;31;
timestamp;2024-03-25 13:18:22;
nb_filtered_loops;0;
architecture_code;2;
config_count;1;
architecture;x86_64;
hostnames;hippolyte-Lenovo-YOGA-530-14ARR;
min_time_obj;0.1;
hostname;hippolyte-Lenovo-YOGA-530-14ARR;
max_frequency;2500000;
cov_filtered_functions;0;
is_src_code;true;
sockets;1;
instances_per_bucket;31;
uarchitecture;ZEN_V1;
cqa_arch;x86_64;
